[-63, -74, -6, 13, -5, -24]
[-77, -96, -4, 21, -8, -35]
[-84, -110, 3, 27, -11, -45]
[-86, -113, 15, 36, -17, -55]
[-80, -107, 15, 46, -27, -64]
[-60, -88, 12, 54, -38, -73]
[-29, -69, 5, 57, -47, -81]
[6, -45, -1, 56, -53, -89]
[40, -12, -5, 53, -57, -97]
[72, 26, -7, 47, -56, -101]
[100, 56, -12, 45, -54, -95]
[114, 76, -17, 44, -50, -83]
[119, 82, -19, 43, -42, -67]
[113, 78, -15, 43, -32, -51]
[107, 66, -6, 42, -20, -35]
[97, 51, 2, 42, -8, -20]
[85, 39, 10, 43, 4, -6]
[72, 24, 22, 43, 16, 6]
[52, 15, 43, 37, 28, 19]
[36, -1, 61, 31, 38, 31]
[22, -19, 61, 27, 44, 39]
[7, -30, 69, 24, 53, 46]
[-5, -38, 68, 21, 60, 51]
[-18, -36, 70, 15, 67, 56]
[-30, -41, 67, 14, 71, 61]
[-40, -34, 64, 14, 75, 68]
[-56, -37, 61, 10, 79, 73]
[-65, -44, 60, 8, 81, 77]
[-68, -44, 57, 2, 83, 75]
[-68, -45, 56, -3, 84, 72]
[-65, -49, 63, -6, 79, 65]
[-55, -40, 54, -13, 76, 57]
[-45, -37, 44, -14, 73, 54]
[-36, -32, 35, -16, 69, 51]
[-29, -24, 28, -17, 66, 48]
[-24, -20, 23, -18, 62, 45]
[-20, -17, 19, -19, 59, 43]
[-17, -15, 15, -20, 56, 40]
[-14, -12, 13, -21, 54, 38]
[-11, -10, 10, -21, 51, 36]
[-9, -8, 8, -20, 48, 35]
[-8, -8, 6, -21, 46, 33]
[-7, -7, 5, -20, 44, 32]
[-7, -7, 5, -19, 41, 30]
[-6, -5, 4, -18, 39, 29]
[-5, -5, 3, -17, 37, 28]
[-4, -4, 3, -16, 35, 27]
[-4, -3, 3, -16, 33, 26]
[-3, -3, 3, -15, 32, 25]
[-3, -3, 2, -15, 30, 24]
[-59, -77, -14, 9, -2, -24]
[-75, -99, -14, 16, -6, -35]
[-83, -113, -8, 23, -10, -45]
[-85, -116, 0, 32, -15, -55]
[-80, -105, 10, 43, -24, -64]
[-60, -79, 12, 50, -35, -73]
[-27, -50, 5, 51, -46, -81]
[23, -23, -6, 52, -49, -89]
[63, 8, -18, 49, -51, -94]
[94, 40, -33, 44, -48, -91]
[110, 63, -37, 43, -40, -79]
[109, 75, -34, 42, -29, -62]
[97, 72, -27, 40, -16, -46]
[79, 59, -16, 41, -2, -30]
[62, 42, 0, 38, 9, -16]
[53, 23, 15, 40, 18, -2]
[43, 11, 30, 39, 29, 9]
