[33, -38, 68, 31, -57, -17]
[39, -42, 76, 18, -44, -23]
[47, -68, 61, 5, -30, -33]
[52, -103, 48, -7, -16, -43]
[60, -89, 52, -19, -10, -52]
[85, -46, 26, -20, -12, -54]
[105, -30, -1, -19, -11, -48]
[121, -22, -12, -11, -10, -41]
[130, -21, -18, 2, -13, -34]
[133, -37, -35, 15, -22, -20]
[134, -52, -46, 27, -30, -5]
[128, -53, -20, 38, -35, 2]
[127, -48, 5, 46, -36, 5]
[123, -53, 28, 45, -33, 7]
[119, -55, 47, 46, -30, 9]
[115, -55, 61, 44, -27, 11]
[111, -54, 68, 40, -23, 12]
[108, -51, 71, 36, -18, 14]
[101, -48, 72, 31, -12, 16]
[91, -47, 75, 30, -5, 21]
[78, -48, 78, 28, 1, 27]
[61, -47, 81, 26, 7, 32]
[43, -50, 83, 25, 14, 38]
[23, -51, 85, 23, 19, 44]
[6, -53, 88, 24, 25, 50]
[-9, -56, 87, 20, 29, 54]
[-19, -56, 85, 21, 33, 57]
[-27, -55, 81, 16, 37, 59]
[-32, -55, 78, 14, 40, 60]
[-37, -54, 73, 12, 42, 61]
[-36, -51, 64, 8, 43, 61]
[-35, -48, 58, 6, 44, 59]
[-41, -54, 63, -5, 45, 54]
[-36, -47, 54, -2, 41, 51]
[-31, -41, 44, -2, 40, 50]
[-26, -36, 37, -2, 38, 49]
[-21, -31, 29, -1, 35, 48]
[-17, -27, 22, 0, 33, 47]
[-15, -24, 19, 0, 31, 46]
[-14, -20, 18, 1, 28, 45]
[-13, -18, 17, 1, 26, 44]
[-12, -16, 15, 2, 24, 43]
[-11, -14, 14, 2, 23, 42]
[-10, -13, 13, 3, 21, 41]
[-9, -11, 12, 3, 20, 40]
[-8, -10, 11, 3, 18, 39]
[-8, -10, 11, 3, 17, 39]
[-8, -9, 11, 3, 16, 38]
[-8, -9, 11, 3, 15, 37]
[-8, -8, 10, 4, 13, 37]
[-64, -45, 44, 10, -26, 9]
[-68, -44, 44, 9, -32, 2]
[-68, -44, 44, 10, -40, -4]
[-62, -43, 42, 13, -48, -9]
[-50, -41, 41, 16, -55, -13]
[-35, -41, 42, 21, -61, -14]
[-15, -40, 43, 25, -65, -15]
[3, -39, 49, 26, -64, -16]
[18, -37, 60, 22, -60, -17]
[30, -38, 69, 8, -51, -21]
[40, -49, 69, -3, -36, -30]
[46, -71, 60, -15, -22, -40]
[57, -90, 44, -27, -9, -49]
[68, -93, 51, -37, 0, -58]
[86, -64, 34, -34, -4, -66]
[107, -38, 6, -35, -7, -65]
[122, -23, -15, -30, -7, -59]
[132, -14, -26, -22, -7, -52]
[139, -14, -35, -8, -10, -43]
[143, -30, -48, 4, -16, -29]
[145, -48, -60, 17, -21, -13]
[137, -51, -32, 29, -23, -3]
[132, -40, 2, 40, -25, 0]
[129, -41, 28, 36, -23, 1]
[124, -46, 49, 36, -20, 4]
[118, -46, 68, 37, -18, 7]
[113, -48, 80, 34, -15, 10]
[107, -51, 89, 31, -11, 13]
[101, -52, 95, 28, -8, 15]
[95, -52, 97, 24, -4, 17]
[86, -53, 98, 22, 0, 20]
[76, -55, 100, 20, 4, 24]
[67, -56, 99, 18, 8, 28]
[54, -59, 100, 18, 13, 32]
[46, -57, 96, 16, 16, 35]
[32, -56, 95, 16, 21, 39]
[22, -57, 94, 16, 25, 44]
[8, -57, 94, 16, 29, 48]
[0, -56, 91, 15, 32, 50]
[-10, -54, 87, 13, 35, 52]
[-14, -50, 82, 10, 38, 52]
[-20, -49, 78, 9, 40, 54]
[-22, -46, 74, 9, 41, 54]
[-26, -43, 71, 8, 42, 54]
[-26, -42, 64, 7, 41, 54]
[-26, -39, 60, 7, 42, 53]
[-27, -37, 57, 5, 41, 51]
[-26, -33, 54, 3, 40, 49]
[-25, -32, 50, 0, 38, 47]
[-23, -30, 45, 0, 36, 45]
[-65, -50, 56, 7, -21, 13]
[-70, -49, 55, 7, -29, 7]
[-71, -48, 54, 8, -38, 2]
[-66, -46, 52, 9, -47, -2]
[-56, -45, 50, 11, -54, -7]
[-40, -42, 48, 12, -60, -10]
[-21, -41, 47, 14, -64, -12]
