[-4, -25, -70, -22, 34, -12]
[0, -20, -79, -22, 43, -14]
[5, -14, -86, -24, 52, -15]
[11, -5, -99, -27, 60, -15]
[17, 4, -107, -25, 69, -11]
[26, 9, -99, -23, 78, -4]
[14, -7, -69, -9, 72, -3]
[39, -2, -50, -12, 74, -2]
[57, -19, -43, -19, 74, 1]
[73, -25, -41, -18, 70, 3]
[83, -35, -37, -11, 63, 6]
[83, -41, -31, 0, 51, 8]
[80, -39, -26, 11, 36, 12]
[70, -40, -27, 19, 21, 19]
[58, -40, -36, 26, 8, 30]
[42, -48, -36, 24, -2, 40]
[25, -52, -41, 29, -9, 51]
[10, -54, -38, 23, -12, 60]
[-4, -55, -38, 20, -13, 67]
[-12, -58, -37, 17, -13, 72]
[-16, -58, -35, 10, -11, 73]
[-15, -56, -36, 2, -8, 70]
[-12, -51, -37, -3, -3, 67]
[-10, -45, -35, -7, 1, 66]
[-11, -40, -31, -8, 4, 65]
[-16, -40, -12, -11, 2, 59]
[-13, -32, -14, -12, 3, 56]
[-11, -27, -15, -9, 2, 55]
[-8, -19, -14, -5, 1, 53]
[-5, -12, -13, -4, 1, 51]
[-4, -10, -12, -4, 0, 49]
[-3, -7, -12, -4, 0, 47]
[-3, -4, -12, -4, 0, 45]
[-2, -2, -10, -4, 0, 43]
[-2, -1, -9, -4, 0, 41]
[-1, -1, -10, -3, 0, 40]
[-1, 0, -10, -2, 0, 39]
[-1, 0, -9, -2, 0, 37]
[-1, 1, -8, -2, 0, 36]
[-1, 1, -8, -2, 0, 34]
[0, 1, -8, -2, 0, 33]
[0, 2, -8, -2, 0, 32]
[0, 2, -8, -2, 0, 31]
[0, 2, -8, -2, 0, 30]
[0, 2, -8, -2, 0, 29]
[0, 1, -9, -2, 0, 28]
[0, 1, -9, -2, 0, 27]
[0, 1, -9, -2, 0, 26]
[0, 1, -9, -2, 0, 25]
[0, 1, -8, -2, 0, 25]
[-7, -21, -61, -16, 25, -7]
[-6, -16, -76, -19, 36, -11]
[-2, -6, -86, -20, 46, -14]
[4, 0, -89, -21, 57, -12]
[14, 2, -86, -18, 65, -9]
[26, 5, -85, -17, 71, -6]
[39, 7, -89, -18, 77, -3]
[52, 8, -91, -19, 84, 2]
[75, -15, -69, -6, 76, 1]
[83, -20, -51, -13, 77, 3]
[95, -30, -50, -17, 75, 5]
[107, -33, -53, -13, 69, 6]
[116, -38, -53, -8, 63, 7]
[118, -42, -49, -4, 55, 7]
[116, -45, -46, 1, 44, 7]
[111, -46, -45, 9, 31, 9]
[106, -46, -50, 13, 17, 11]
[94, -50, -53, 12, 4, 14]
[84, -53, -62, 15, -7, 17]
[70, -57, -62, 14, -16, 21]
[59, -58, -63, 16, -24, 26]
[47, -57, -58, 17, -31, 32]
[35, -55, -56, 17, -36, 38]
[23, -54, -51, 12, -37, 43]
[12, -53, -44, 11, -40, 47]
[5, -50, -40, 13, -42, 52]
[0, -48, -37, 12, -42, 55]
[-2, -46, -34, 10, -39, 55]
[-2, -42, -30, 6, -35, 54]
[-3, -37, -24, 4, -31, 52]
[-3, -32, -20, 3, -27, 51]
[-4, -27, -16, 4, -24, 51]
[-5, -24, -13, 5, -21, 50]
[-11, -26, 6, 1, -21, 46]
